x1,y1,x2,y2,x3,y3,x4,y4,bbox,text,confidence
104,756,454,756,454,806,104,806,"[[104, 756], [454, 756], [454, 806], [104, 806]]","ICh 2400.477E,4305,e47i971 ",0.0069475596471229965
257,913,305,913,305,957,257,957,"[[257, 913], [305, 913], [305, 957], [257, 957]]",W,0.996843924804125
108,975,524,975,524,1048,108,1048,"[[108, 975], [524, 975], [524, 1048], [108, 1048]]",Introducing Walmart-,0.5963878519466645
145,1041,385,1041,385,1083,145,1083,"[[145, 1041], [385, 1041], [385, 1083], [145, 1083]]",Join loday Al walmar_,0.6086608923909975
379,1034,510,1034,510,1076,379,1076,"[[379, 1034], [510, 1034], [510, 1076], [379, 1076]]",Lcom/plus,0.510688358517387
149,1089,367,1089,367,1129,149,1129,"[[149, 1089], [367, 1089], [367, 1129], [149, 1129]]",cos You Can Tryst,0.32200515929405465
375,1083,495,1083,495,1119,375,1119,"[[375, 1083], [495, 1083], [495, 1119], [375, 1119]]",Every Day_,0.48609775117142934
65,1109,115,1109,115,1145,65,1145,"[[65, 1109], [115, 1109], [115, 1145], [65, 1145]]",Low,0.8585421317674186
157,1121,259,1121,259,1149,157,1149,"[[157, 1121], [259, 1121], [259, 1149], [157, 1149]]",10/18/20,0.7047014234210908
310,1110,415,1110,415,1143,310,1143,"[[310, 1110], [415, 1110], [415, 1143], [310, 1143]]",11;30.46,0.5467616897013458
112,1101,155,1099,156,1127,113,1130,"[[112, 1101], [155, 1099], [156, 1127], [113, 1130]]",Pri,0.9946782473607111
